"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.029709293E1,1.557660475E-2,-6.719320081E-3,-3.665083554E-3
1.030624449E1,1.252236869E-2,-1.084253844E-2,-4.275931045E-3
1.031539600E1,8.857285604E-3,-1.695101149E-2,-5.497625098E-3
1.032454751E1,5.192201585E-3,-2.061609551E-2,-3.206948051E-3
1.033369902E1,7.635590737E-4,-1.572931744E-2,-3.817795310E-3
1.034285054E1,1.527118147E-4,-3.054236295E-3,-4.428642802E-3
1.035200204E1,1.221694518E-3,7.177455351E-3,-4.428642802E-3
1.036115356E1,6.108472589E-3,1.496575773E-2,-3.206948051E-3
1.037030507E1,9.773556143E-3,1.267508045E-2,-1.832541777E-3
1.037945663E1,9.926267900E-3,5.955760833E-3,-6.108472589E-4
1.038860814E1,8.704573847E-3,2.290677279E-3,-6.108472589E-4
1.039775965E1,7.482878864E-3,4.734066315E-3,4.581354442E-4
1.040691116E1,7.330167107E-3,6.566607859E-3,-1.527118147E-4
1.041606267E1,1.236965694E-2,6.566607859E-3,-0.000000000E0
1.042521418E1,1.786728203E-2,6.108472589E-4,-0.000000000E0
1.043436569E1,1.985253580E-2,-3.665083554E-3,1.221694518E-3
1.044351720E1,2.046338283E-2,-6.719320081E-3,6.108472589E-4
1.045266876E1,1.679829881E-2,-5.497625098E-3,6.108472589E-4
1.046182027E1,1.236965694E-2,0.000000000E0,2.443389036E-3
1.047097179E1,6.261184346E-3,4.734066315E-3,4.581354442E-4
1.048012330E1,7.330167107E-3,7.788302377E-3,2.901524538E-3
1.048927480E1,1.298050396E-2,5.344913341E-3,2.443389036E-3
1.049842632E1,1.847812906E-2,6.108472589E-4,1.832541777E-3
1.050757783E1,2.168507688E-2,-8.399149403E-3,1.221694518E-3
1.051672934E1,2.183778957E-2,-1.679829881E-2,2.443389036E-3
1.052588090E1,1.939439960E-2,-2.290677279E-2,1.832541777E-3
1.053503241E1,1.756185852E-2,-2.473931387E-2,6.108472589E-4
1.054418392E1,1.450762246E-2,-2.473931387E-2,-0.000000000E0
1.055333543E1,1.695101149E-2,-2.168507688E-2,-0.000000000E0
1.056248694E1,2.000524849E-2,-1.985253580E-2,-0.000000000E0
1.057163845E1,2.000524849E-2,-2.107422985E-2,-0.000000000E0
1.058078996E1,1.496575773E-2,-2.412846684E-2,1.221694518E-3
1.058994147E1,1.206423342E-2,-2.779355086E-2,6.108472589E-4
1.059909304E1,1.267508045E-2,-2.718270384E-2,1.832541777E-3
1.060824454E1,1.511846948E-2,-2.351761982E-2,6.108472589E-4
1.061739606E1,1.863084175E-2,-1.572931744E-2,1.221694518E-3
1.062654757E1,1.863084175E-2,-1.450762246E-2,1.221694518E-3
1.063569908E1,1.557660475E-2,-1.695101149E-2,1.221694518E-3
1.064485059E1,1.435491070E-2,-2.412846684E-2,2.443389036E-3
1.065400210E1,1.328592747E-2,-3.191677108E-2,3.054236295E-3
1.066315361E1,1.450762246E-2,-3.374931216E-2,3.665083554E-3
1.067230517E1,1.267508045E-2,-3.252761811E-2,3.665083554E-3
