"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.763016117E0,3.054236295E-3,-4.734066129E-2,3.817795310E-3
6.772168357E0,-1.221694518E-3,-5.161659420E-2,1.527118147E-4
6.781320596E0,-5.497625098E-3,-5.573981255E-2,-5.955760833E-3
6.790472888E0,-1.679830020E-3,-5.222744122E-2,-1.023169141E-2
6.799625127E0,1.298050396E-2,-4.795150831E-2,-1.007897966E-2
6.808777367E0,2.229592577E-2,-4.856235534E-2,-1.130067464E-2
6.817929607E0,1.618745178E-2,-5.451811850E-2,-1.191152167E-2
6.827081846E0,1.374406274E-3,-6.306997687E-2,-1.191152167E-2
6.836234086E0,-9.009997360E-3,-6.306997687E-2,-7.788302377E-3
6.845386325E0,-7.941014133E-3,-5.879404768E-2,-7.788302377E-3
6.854538565E0,-4.123218823E-3,-6.245913357E-2,-5.344913341E-3
6.863690805E0,-3.512371797E-3,-7.207997888E-2,-3.512371797E-3
6.872843096E0,-5.955760833E-3,-7.085828483E-2,-2.290677279E-3
6.881995336E0,-1.084253844E-2,-6.719319522E-2,-5.955760833E-3
6.891147575E0,-1.206423342E-2,-6.673506647E-2,-7.177455351E-3
6.900299815E0,-4.123218823E-3,-6.536065787E-2,-6.566607859E-3
6.909452055E0,3.817795310E-3,-5.940489471E-2,-5.955760833E-3
6.918604294E0,3.817795310E-3,-5.146388337E-2,-6.566607859E-3
6.927756534E0,-4.886778072E-3,-4.260659590E-2,-9.009997360E-3
6.936908773E0,-1.725643501E-2,-4.077405483E-2,-1.267508045E-2
6.946061013E0,-2.519745007E-2,-4.138490185E-2,-1.282779220E-2
6.955213305E0,-2.214321308E-2,-4.734066129E-2,-1.160609815E-2
6.964365544E0,-1.221694518E-2,-5.100574717E-2,-9.009997360E-3
6.973517784E0,7.635590737E-4,-5.451811850E-2,-6.566607859E-3
6.982670023E0,6.872031838E-3,-5.268557742E-2,-1.527118147E-3
6.991822263E0,3.054236295E-3,-4.611896724E-2,3.206948051E-3
7.000974502E0,-6.872031838E-3,-4.062134400E-2,2.596100792E-3
7.010126742E0,-1.374406368E-2,-3.283303976E-2,3.206948051E-3
7.019279034E0,-1.252236869E-2,-2.870982140E-2,2.596100792E-3
7.028431273E0,-5.803049076E-3,-2.504473738E-2,1.374406274E-3
7.037583513E0,4.123218823E-3,-2.687728032E-2,1.985253533E-3
7.046735752E0,1.038440317E-2,-3.222219273E-2,4.581354558E-3
7.055887992E0,1.221694518E-2,-3.939964995E-2,3.970507067E-3
7.065040232E0,1.420219894E-2,-4.672981426E-2,4.581354558E-3
7.074192471E0,1.542389300E-2,-5.390727147E-2,3.359660041E-3
7.083344711E0,1.679829881E-2,-6.780404598E-2,5.192201585E-3
7.092496950E0,1.817270555E-2,-7.681404054E-2,8.246437646E-3
7.101649242E0,1.695101149E-2,-8.093725890E-2,1.252236869E-2
7.110801482E0,1.740914769E-2,-7.192726433E-2,1.557660475E-2
7.119953721E0,1.481304597E-2,-5.741964281E-2,1.496575773E-2
7.129105961E0,1.236965694E-2,-4.840964451E-2,1.252236869E-2
7.138258200E0,9.162709117E-3,-3.817795217E-2,9.468132630E-3
7.147410440E0,6.566607859E-3,-3.222219273E-2,5.039489828E-3
7.156562680E0,6.566607859E-3,-2.977880463E-2,1.374406274E-3
7.165714971E0,7.330167107E-3,-3.161134571E-2,-1.527118147E-3
7.174867211E0,6.108472589E-3,-4.016320780E-2,-4.581354558E-3
7.184019450E0,7.330167107E-3,-4.550812021E-2,-4.581354558E-3
7.193171690E0,8.704573847E-3,-4.672981426E-2,-2.137965523E-3
7.202323930E0,4.886778072E-3,-4.856235534E-2,1.985253533E-3
7.211476169E0,1.221694518E-3,-5.085303262E-2,5.650337320E-3
7.220628409E0,6.108472589E-3,-4.550812021E-2,8.857285604E-3
7.229780700E0,1.527118124E-2,-3.634541109E-2,1.313321572E-2
7.238932940E0,2.321219631E-2,-3.100049868E-2,1.191152167E-2
7.248085180E0,2.260134928E-2,-3.100049868E-2,9.468132630E-3
7.257237419E0,1.954711229E-2,-2.794626169E-2,6.413896102E-3
7.266389659E0,2.199050039E-2,-2.260134928E-2,3.359660041E-3
7.275541898E0,2.993151546E-2,-1.893626526E-2,2.290677279E-3
7.284694138E0,3.313846514E-2,-3.268032894E-2,4.734066315E-3
7.293846377E0,2.733541466E-2,-6.230641901E-2,6.566607859E-3
7.302998669E0,1.389677543E-2,-8.872556686E-2,1.007897966E-2
7.312150909E0,-7.635590620E-3,-9.300149232E-2,1.359135192E-2
7.321303148E0,-2.809897438E-2,-8.170082420E-2,1.710372418E-2
7.330455388E0,-3.863608837E-2,-7.559234649E-2,2.321219631E-2
