"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.761372859E0,-9.622371197E-1,8.597674966E-2,-2.875563502E-1
6.770525672E0,-8.199097514E-1,1.489703774E0,-6.155813336E-1
6.779665672E0,-6.872031689E-1,2.146364450E0,-7.000309825E-1
6.788831244E0,-5.835118294E-1,2.439723969E0,-7.685985565E-1
6.797984057E0,-6.157340407E-1,2.171561956E0,-7.826480269E-1
6.807124109E0,-6.847597957E-1,1.858960867E0,-7.029324770E-1
6.816289630E0,-7.001836896E-1,1.523911238E0,-5.593833923E-1
6.825442442E0,-6.722373962E-1,1.137550354E0,-4.133908749E-1
6.834582494E0,-6.195518374E-1,7.348492742E-1,-3.321481943E-1
6.843748067E0,-5.586197972E-1,3.717005551E-1,-3.022166789E-1
6.852900828E0,-4.932591617E-1,8.200624585E-2,-2.648022771E-1
6.862053640E0,-4.268295169E-1,-8.750387281E-2,-1.878355294E-1
6.871206453E0,-3.787252903E-1,-1.256818175E-1,-1.142284349E-1
6.880359265E0,-3.698680103E-1,-3.802524135E-2,-6.841489673E-2
6.889499317E0,-3.991886973E-1,1.386623234E-1,-3.451287001E-2
6.898664838E0,-4.260659516E-1,3.603998721E-1,-1.527118147E-4
6.907817651E0,-4.249969721E-1,5.667135715E-1,3.695625812E-2
6.916957703E0,-3.910949528E-1,7.143858671E-1,5.665608495E-2
6.926123276E0,-3.633013964E-1,7.722636461E-1,5.008947477E-2
6.935276088E0,-3.747547865E-1,7.672241330E-1,1.221694518E-2
6.944428849E0,-4.320217371E-1,7.266027927E-1,-5.238015205E-2
6.953581661E0,-5.132644176E-1,6.707102656E-1,-1.285833418E-1
6.962734474E0,-5.877877474E-1,6.227588058E-1,-1.980672181E-1
6.971887286E0,-6.421532035E-1,5.995466113E-1,-2.466295809E-1
6.981040099E0,-6.814001203E-1,5.807630420E-1,-2.780882120E-1
6.990192859E0,-7.044596076E-1,5.624375939E-1,-3.026748300E-1
6.999345672E0,-7.142331600E-1,5.497625470E-1,-3.168770075E-1
7.008498484E0,-7.085828185E-1,5.364766121E-1,-3.197785318E-1
7.017651297E0,-6.977402568E-1,5.076140761E-1,-3.226800561E-1
7.026804057E0,-6.836907864E-1,4.515688419E-1,-3.225273490E-1
7.035956869E0,-6.749862432E-1,3.607053161E-1,-3.176405728E-1
7.045109682E0,-6.696413159E-1,2.449497581E-1,-3.101576865E-1
7.054262494E0,-6.612421870E-1,1.299577504E-1,-3.112266660E-1
7.063415307E0,-6.337540150E-1,1.771457121E-2,-3.139754832E-1
7.072568067E0,-5.761816502E-1,-8.704573661E-2,-3.092414141E-1
7.081720880E0,-5.137225389E-1,-1.747023165E-1,-2.916795611E-1
7.090873692E0,-4.805840850E-1,-2.463241518E-1,-2.681619525E-1
7.100026505E0,-4.961606860E-1,-3.101576865E-1,-2.480039895E-1
7.109179317E0,-5.251759291E-1,-3.758237660E-1,-2.359397560E-1
7.118332078E0,-5.225798488E-1,-4.607315361E-1,-2.163926363E-1
7.127484890E0,-4.619532526E-1,-5.810684562E-1,-1.780619770E-1
7.136637703E0,-3.631486893E-1,-6.998782754E-1,-1.259872466E-1
7.145790515E0,-2.648022771E-1,-7.682931423E-1,-6.230641901E-2
7.154943328E0,-1.750077456E-1,-7.776085734E-1,2.443389036E-3
7.164096088E0,-7.116370648E-2,-7.554653287E-1,5.268557742E-2
7.173248901E0,5.894676223E-2,-7.087355256E-1,8.353336155E-2
7.182401713E0,2.061609477E-1,-6.343649030E-1,9.788827598E-2
7.191541765E0,3.605526090E-1,-5.399889946E-1,1.068982705E-1
7.200707338E0,5.161659122E-1,-4.385883212E-1,1.127013192E-1
7.209860151E0,6.638382673E-1,-3.419217467E-1,1.241547018E-1
7.219012911E0,8.017370105E-1,-2.512109280E-1,1.366770715E-1
7.228165724E0,9.039012194E-1,-1.684411317E-1,1.360662282E-1
7.237318536E0,9.698727131E-1,-9.376505762E-2,1.236965731E-1
7.246471349E0,9.909469485E-1,-2.993151546E-2,9.987352788E-2
7.255624109E0,9.630007148E-1,1.939439960E-2,7.162184268E-2
7.264776922E0,8.904625773E-1,6.612421572E-2,5.268557742E-2
7.273929734E0,7.748597264E-1,1.099525094E-1,3.665083647E-2
7.283082547E0,6.447492838E-1,1.404948682E-1,1.618745178E-2
7.292235359E0,5.190674663E-1,1.359135211E-1,-7.330167107E-3
7.301388119E0,4.111002088E-1,8.979454637E-2,-2.764083818E-2
7.310540932E0,3.342861533E-1,1.068982761E-3,-3.848337755E-2
7.319693744E0,2.921377122E-1,-1.165191159E-1,-3.924693540E-2
7.328846557E0,2.832804024E-1,-2.405211031E-1,-2.458660305E-2
7.337999369E0,3.083251417E-1,-3.567348123E-1,2.596100792E-3
7.347152182E0,3.539859951E-1,-4.547757804E-1,4.504998401E-2
7.356304942E0,4.092676640E-1,-5.328115225E-1,9.620844573E-2
7.365457755E0,4.662291706E-1,-5.867187977E-1,1.498102844E-1
7.374610567E0,5.222744346E-1,-6.080984473E-1,1.983726472E-1
7.383763380E0,5.799994469E-1,-5.952706337E-1,2.385358512E-1
7.392916140E0,6.511631608E-1,-5.738909841E-1,2.701472044E-1
7.402068953E0,7.415685654E-1,-5.645755529E-1,2.970244884E-1
7.411221765E0,8.451071978E-1,-5.799994469E-1,3.203893900E-1
7.420374578E0,9.607100487E-1,-6.189410090E-1,3.358132839E-1
7.429527390E0,1.085628271E0,-6.812474132E-1,3.520007432E-1
7.438680203E0,1.215586066E0,-7.455390692E-1,3.756710589E-1
7.447832963E0,1.340351582E0,-7.861604095E-1,4.100312293E-1
7.456985776E0,1.454274654E0,-7.864658237E-1,4.500417113E-1
7.466138588E0,1.575985909E0,-7.667660117E-1,4.856235683E-1
7.475291401E0,1.721367598E0,-7.670714259E-1,5.147915483E-1
7.484444213E0,1.891183138E0,-8.046385646E-1,5.276193023E-1
7.493596974E0,2.072452068E0,-8.893936276E-1,5.227325559E-1
7.502749786E0,2.245321751E0,-9.904888272E-1,5.039489865E-1
7.511902599E0,2.402615070E0,-1.056613088E0,4.685198367E-1
7.521055411E0,2.520050287E0,-1.060278177E0,4.143071473E-1
7.530208224E0,2.586327314E0,-1.008508801E0,3.616215885E-1
7.539360984E0,2.605721712E0,-9.429954290E-1,3.196258247E-1
7.548501088E0,2.582509518E0,-8.828269839E-1,2.864873707E-1
7.557666609E0,2.529518604E0,-8.072346449E-1,2.512109280E-1
7.566819422E0,2.451941013E0,-7.290462255E-1,2.267770469E-1
7.575959474E0,2.351914644E0,-6.377245188E-1,2.052446753E-1
7.585125047E0,2.218444586E0,-5.257867575E-1,1.998997629E-1
7.594277807E0,2.071535826E0,-4.230117202E-1,2.141019702E-1
7.603430619E0,1.928292036E0,-3.526115716E-1,2.478512824E-1
7.612583432E0,1.800319552E0,-3.356605768E-1,2.976353168E-1
7.621736244E0,1.690367103E0,-3.326063454E-1,3.529170156E-1
7.630876297E0,1.613400340E0,-3.579564989E-1,3.799470067E-1
7.640041817E0,1.582705259E0,-4.352286756E-1,3.975088596E-1
7.649194630E0,1.572626233E0,-5.543438792E-1,4.085040987E-1
7.658347442E0,1.564685225E0,-6.502469182E-1,4.103366435E-1
7.667500255E0,1.551399350E0,-7.412631512E-1,4.097257853E-1
7.676653067E0,1.541167617E0,-8.365553021E-1,3.987305462E-1
7.685805880E0,1.529866934E0,-9.341381788E-1,3.852919042E-1
7.694958640E0,1.525285602E0,-1.051726222E0,3.755183518E-1
7.704111453E0,1.523758531E0,-1.161373377E0,3.866663277E-1
7.713251505E0,1.505738497E0,-1.225817680E0,4.030064642E-1
7.722417078E0,1.468629479E0,-1.217418551E0,4.175141156E-1
7.731569890E0,1.428313613E0,-1.132510781E0,4.268295169E-1
7.740709942E0,1.397465825E0,-9.909469485E-1,4.246915579E-1
7.749875463E0,1.374711752E0,-8.391514421E-1,4.030064642E-1
7.759028276E0,1.350888729E0,-6.983511448E-1,3.686463237E-1
7.768181088E0,1.330119848E0,-5.737382770E-1,3.268032968E-1
7.777333901E0,1.320193648E0,-4.709632397E-1,2.802261710E-1
7.786486713E0,1.309656501E0,-3.782671690E-1,2.391466945E-1
7.795639474E0,1.300035715E0,-3.223746419E-1,2.092151791E-1
7.804792286E0,1.289040446E0,-3.274141252E-1,1.925695986E-1
7.813945099E0,1.257276416E0,-3.497100472E-1,1.753131598E-1
7.823097911E0,1.199704051E0,-3.836120665E-1,1.548497826E-1
7.832250724E0,1.147018433E0,-4.042281806E-1,1.397313178E-1
7.841403536E0,1.098456025E0,-4.201101959E-1,1.217113137E-1
7.850556297E0,1.055085897E0,-4.456130862E-1,1.018587798E-1
