"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.151966763E1,6.459710002E-1,-5.538857579E-1,1.238492802E-1
1.152882002E1,5.729747415E-1,-5.125008225E-1,1.061347127E-1
1.153797242E1,4.972296655E-1,-4.596625566E-1,9.895725548E-2
1.154712476E1,4.191939235E-1,-4.078932703E-1,1.032331884E-1
1.155627716E1,3.411581814E-1,-3.712424338E-1,1.130067408E-1
1.156542955E1,2.741177082E-1,-3.309265077E-1,1.253764033E-1
1.157458190E1,2.131856978E-1,-2.840439677E-1,1.444653720E-1
1.158373429E1,1.542389393E-1,-2.454078794E-1,1.696628332E-1
1.159289360E1,8.689302206E-2,-2.376195788E-1,1.930277348E-1
1.160204595E1,9.773556143E-3,-2.437280566E-1,2.076880634E-1
1.161119834E1,-7.711946964E-2,-2.330382317E-1,2.052446753E-1
1.162035074E1,-1.704263836E-1,-1.976090819E-1,1.910424829E-1
1.162950308E1,-2.619007528E-1,-1.611109674E-1,1.666085869E-1
1.163865548E1,-2.974826097E-1,-1.618745178E-1,1.333174109E-1
1.164780788E1,-2.464768738E-1,-2.047865391E-1,9.712471068E-2
1.165696027E1,-1.488940120E-1,-2.076880634E-1,6.917845458E-2
1.166611262E1,-8.368607610E-2,-1.811162084E-1,5.375456065E-2
1.167526501E1,-7.330167294E-2,-2.539597452E-1,5.619794875E-2
1.168441741E1,-8.429691941E-2,-4.118637741E-1,6.917845458E-2
1.169355704E1,-1.018587798E-1,-5.274665952E-1,1.001789495E-1
1.170272215E1,-1.429382563E-1,-5.719057322E-1,1.495048702E-1
1.171187454E1,-1.968455315E-1,-5.508314967E-1,1.740914732E-1
1.172102689E1,-2.176143378E-1,-4.984513521E-1,1.647760421E-1
1.173017928E1,-2.000524700E-1,-3.852919042E-1,1.458397806E-1
1.173933168E1,-1.582094431E-1,-2.225011140E-1,1.301104724E-1
1.174848402E1,-1.215586066E-1,-1.273616552E-1,1.206423342E-1
1.175763642E1,-1.298050433E-1,-1.623326540E-1,1.119377613E-1
1.176678881E1,-1.681357026E-1,-2.727433145E-1,9.284878522E-2
1.177594121E1,-2.203631550E-1,-3.458922505E-1,6.139015034E-2
1.178509355E1,-3.126010895E-1,-2.924431264E-1,1.679829881E-2
1.179424595E1,-4.462239146E-1,-1.507265568E-1,-2.153236605E-2
1.180339834E1,-6.007682681E-1,-8.536590636E-2,-3.665083647E-2
1.181255069E1,-7.441646457E-1,-1.837123185E-1,-3.878879920E-2
1.182170308E1,-8.709154725E-1,-3.472666740E-1,-2.382304333E-2
1.183084272E1,-9.842276573E-1,-3.658975065E-1,7.788302377E-3
1.184000782E1,-1.072495103E0,-1.653869003E-1,4.428642616E-2
1.184916022E1,-1.120446563E0,7.941014320E-2,6.704048812E-2
1.185831262E1,-1.125486016E0,1.805053651E-1,4.856235534E-2
1.186746501E1,-1.114338160E0,1.122431830E-1,1.023169141E-2
1.187661735E1,-1.104259133E0,3.634541109E-2,-1.053711493E-2
1.188576975E1,-1.126860499E0,6.826218218E-2,2.290677279E-3
1.189492215E1,-1.168550849E0,1.792836636E-1,3.848337755E-2
1.190407449E1,-1.178018928E0,2.451024652E-1,7.681404054E-2
1.191322689E1,-1.199245930E0,1.998997629E-1,1.059819981E-1
1.192237928E1,-1.302326322E0,1.287360638E-1,1.414111406E-1
1.193153162E1,-1.445722699E0,1.456870735E-1,1.922641695E-1
1.194068402E1,-1.569724798E0,2.095206082E-1,2.457133085E-1
1.194983642E1,-1.624395609E0,2.397575527E-1,2.806843221E-1
1.195898881E1,-1.632489324E0,3.109212518E-1,2.951919436E-1
1.196814116E1,-1.621035933E0,4.103366435E-1,2.939702570E-1
1.197729355E1,-1.607139111E0,4.440859556E-1,2.861819267E-1
1.198644595E1,-1.622104883E0,4.115583301E-1,2.719797492E-1
1.199558558E1,-1.656312346E0,3.715478480E-1,2.644968629E-1
1.200475069E1,-1.686396599E0,3.498627543E-1,2.808370292E-1
1.201390308E1,-1.711593986E0,3.342861533E-1,3.032856584E-1
1.202305543E1,-1.738776684E0,3.361186981E-1,3.084778786E-1
1.203220782E1,-1.735111594E0,3.510844707E-1,2.822114229E-1
1.204136022E1,-1.705027461E0,3.081724346E-1,2.458660156E-1
1.205049985E1,-1.683495045E0,2.687727809E-1,1.837123185E-1
1.205966496E1,-1.694490314E0,2.144073844E-1,1.336228400E-1
1.206881735E1,-1.696322799E0,1.502684206E-1,1.068982705E-1
1.207796975E1,-1.658297539E0,1.273616552E-1,7.421794534E-2
1.208712209E1,-1.623632073E0,1.899735034E-1,3.527642787E-2
1.209627449E1,-1.619203329E0,2.722851634E-1,-1.114796288E-2
1.210542689E1,-1.617523551E0,3.323009014E-1,-7.406523079E-2
1.211457923E1,-1.622715712E0,4.520269632E-1,-1.401894391E-1
1.212373163E1,-1.656006932E0,6.175665855E-1,-1.783674061E-1
1.213288402E1,-1.714190125E0,7.814263701E-1,-1.704263836E-1
1.214203637E1,-1.744579792E0,9.225320816E-1,-1.291942000E-1
1.215118876E1,-1.739845753E0,1.048672080E0,-7.314895838E-2
1.216034116E1,-1.688534498E0,1.144116879E0,-2.397575416E-2
1.216949355E1,-1.600114346E0,1.164885759E0,1.023169141E-2
1.217864590E1,-1.524369359E0,1.174811959E0,3.100049868E-2
1.218779829E1,-1.450151443E0,1.222458124E0,2.412846684E-2
1.219695069E1,-1.362952948E0,1.320804477E0,1.542389300E-2
1.220610303E1,-1.275754452E0,1.439003468E0,1.603474095E-2
1.221525543E1,-1.217265844E0,1.571709991E0,2.367033064E-2
1.222440782E1,-1.174964666E0,1.733889937E0,3.726168349E-2
1.223356022E1,-1.109756708E0,1.884158373E0,4.688252881E-2
1.224271256E1,-1.027445078E0,1.990903974E0,5.344913527E-2
1.225186496E1,-9.498674870E-1,2.055653811E0,6.490252167E-2
1.226101735E1,-9.113841057E-1,2.098412991E0,6.383354217E-2
1.227015699E1,-9.200887084E-1,2.111698866E0,4.734066129E-2
1.227932209E1,-9.517000318E-1,2.070008755E0,3.619270027E-2
1.228847449E1,-9.599464536E-1,1.947075605E0,4.902049154E-2
1.229761412E1,-9.300149679E-1,1.759240150E0,8.047912270E-2
1.230677923E1,-8.690829277E-1,1.546054363E0,1.116323397E-1
1.231593163E1,-7.979192138E-1,1.295607090E0,1.281252056E-1
1.232508402E1,-7.230904698E-1,9.956810474E-1,1.313321590E-1
1.233423636E1,-6.452074051E-1,6.740699410E-1,1.346918195E-1
1.234338876E1,-5.581616759E-1,3.807105422E-1,1.427855492E-1
1.235254116E1,-4.621059597E-1,1.795890927E-1,1.545443535E-1
1.236169355E1,-3.819322586E-1,9.773556143E-2,1.612636745E-1
1.237084590E1,-3.245126009E-1,9.834641218E-2,1.464506239E-1
1.237998553E1,-2.924431264E-1,1.875301152E-1,1.136175916E-1
1.238915069E1,-2.777827978E-1,3.513898849E-1,6.841489673E-2
1.239830303E1,-2.673983872E-1,5.222744346E-1,2.504473738E-2
1.240745543E1,-2.786990702E-1,6.468872428E-1,-1.298050396E-2
1.241660782E1,-3.303156495E-1,7.153021693E-1,-5.925218388E-2
1.242576017E1,-4.098785222E-1,7.392778993E-1,-8.490777016E-2
1.243491256E1,-5.010474920E-1,7.890619636E-1,-9.468132257E-2
1.244406496E1,-5.598415136E-1,8.347227573E-1,-1.036913246E-1
1.245321735E1,-5.421269536E-1,8.443436027E-1,-1.114796251E-1
1.246236970E1,-4.731011987E-1,7.896727920E-1,-1.250709742E-1
1.247152209E1,-4.280512035E-1,7.203416228E-1,-1.404948682E-1
1.248067449E1,-4.333961308E-1,6.381826997E-1,-1.637070626E-1
1.248982683E1,-4.544703662E-1,5.899257660E-1,-1.834068894E-1
1.249897923E1,-4.672981501E-1,5.868715048E-1,-1.913478971E-1
1.250813162E1,-4.647020400E-1,5.705313683E-1,-1.925695986E-1
1.251728397E1,-4.575245976E-1,5.308262706E-1,-2.021904439E-1
1.252643636E1,-4.611896873E-1,4.572191834E-1,-2.241809368E-1
1.253558876E1,-4.767662883E-1,3.582619131E-1,-2.487675399E-1
1.254474116E1,-4.892886579E-1,2.490729690E-1,-2.640387416E-1
1.255389350E1,-4.880669713E-1,1.850867122E-1,-2.638860047E-1
1.256304590E1,-4.547757804E-1,1.809635013E-1,-2.605263591E-1
1.257219829E1,-4.095730782E-1,2.125748396E-1,-2.577775419E-1
1.258135069E1,-3.617742956E-1,2.504473627E-1,-2.544178963E-1
1.259050303E1,-3.164188862E-1,2.741177082E-1,-2.418955117E-1
1.259965543E1,-2.678565085E-1,2.779355049E-1,-2.202104330E-1
1.260880782E1,-2.195995897E-1,2.473931462E-1,-1.985253543E-1
1.261796017E1,-1.846285909E-1,1.931804419E-1,-1.792836636E-1
1.262711256E1,-1.698155403E-1,1.035386100E-1,-1.699682474E-1
1.263626496E1,-1.863084137E-1,2.458660305E-2,-1.632489264E-1
1.264541730E1,-2.137965411E-1,-1.114796288E-2,-1.605001241E-1
1.265456970E1,-2.231119573E-1,7.635590620E-3,-1.659977436E-1
1.266372209E1,-1.928750277E-1,7.696675509E-2,-1.664558798E-1
1.267287449E1,-1.301104724E-1,1.440072358E-1,-1.513374150E-1
1.268202683E1,-7.131642103E-2,1.646233350E-1,-1.327065676E-1
1.269117923E1,-3.344388679E-2,1.262926757E-1,-1.159082651E-1
1.270033162E1,-3.359660041E-3,6.612421572E-2,-9.666658193E-2
1.270948397E1,3.329117596E-2,1.969982497E-2,-7.437065244E-2
1.271863636E1,9.071081877E-2,7.941014133E-3,-4.230117425E-2
1.272778876E1,1.685938388E-1,2.748812735E-2,4.581354558E-3
1.273694116E1,2.557922900E-1,4.046862945E-2,5.405998230E-2
1.274609350E1,3.469612300E-1,1.130067464E-2,1.000262350E-1
1.275524590E1,4.570664763E-1,-4.672981426E-2,1.466033459E-1
1.276439829E1,5.974085927E-1,-1.241547018E-1,1.982199401E-1
1.277355064E1,7.757760286E-1,-2.266243398E-1,2.392994165E-1
1.278270303E1,9.900307059E-1,-3.437542915E-1,2.660239935E-1
1.279185543E1,1.245517612E0,-4.559974670E-1,2.739650011E-1
1.280100782E1,1.541014910E0,-5.549547076E-1,2.693836391E-1
1.281016017E1,1.886296391E0,-6.291726828E-1,2.530434728E-1
1.281929980E1,2.306406498E0,-6.629219651E-1,2.333436459E-1
1.282846496E1,2.794931650E0,-6.284091473E-1,2.215848416E-1
1.283761730E1,3.315984249E0,-4.378247857E-1,2.098260373E-1
1.284676970E1,3.775188684E0,-2.226538211E-1,1.951656938E-1
1.285592209E1,4.025025368E0,-4.734066129E-2,2.286095917E-1
1.286507449E1,4.007616043E0,-2.214321308E-2,3.781144619E-1
1.287421412E1,3.813366652E0,-2.148655206E-1,6.552863717E-1
1.288337923E1,3.601708174E0,-5.590779781E-1,9.923213720E-1
1.289253162E1,3.470528603E0,-9.251281619E-1,1.309809208E0
1.290167126E1,3.358743668E0,-1.167023659E0,1.568808436E0
1.291083637E1,3.163883448E0,-1.252694964E0,1.768402815E0
1.291998876E1,2.947643518E0,-1.397313118E0,1.882936716E0
1.292912840E1,2.875868797E0,-1.839719176E0,1.884005666E0
1.293829350E1,3.046906233E0,-2.385358572E0,1.766570330E0
1.294744590E1,3.421660900E0,-2.771261215E0,1.551399350E0
1.295658553E1,3.791987181E0,-2.826695681E0,1.255443811E0
1.296575069E1,3.945004225E0,-2.644205093E0,9.785773158E-1
1.297490303E1,3.862692595E0,-2.394826651E0,8.220477104E-1
1.298404267E1,3.656073570E0,-2.153694630E0,7.989882231E-1
1.299320782E1,3.467932701E0,-1.876522779E0,8.402203918E-1
1.300236017E1,3.358285427E0,-1.408919215E0,8.806890249E-1
1.301149980E1,3.266963959E0,-7.931851745E-1,8.948912621E-1
1.302066496E1,3.123261929E0,-2.197522968E-1,8.904625773E-1
1.302981735E1,2.929928780E0,1.882936656E-1,8.686248064E-1
1.303895694E1,2.707733154E0,4.379774928E-1,8.380824327E-1
1.304812209E1,2.488744497E0,5.407525301E-1,8.170081973E-1
1.305727449E1,2.301367044E0,5.648810267E-1,7.814263701E-1
1.306641413E1,2.159650564E0,5.030327439E-1,7.340856791E-1
1.307557923E1,2.051072359E0,3.260397315E-1,6.760551929E-1
1.308473163E1,1.963568568E0,7.849387079E-2,6.114581227E-1
1.309387126E1,1.880493283E0,-1.695101112E-1,5.317425132E-1
1.310303637E1,1.811467528E0,-3.990359604E-1,4.300364852E-1
1.311218876E1,1.755880475E0,-5.586197972E-1,3.264978528E-1
1.312134116E1,1.684105873E0,-6.210789680E-1,2.460187376E-1
1.313049355E1,1.580872655E0,-6.268820167E-1,1.849340051E-1
1.313964590E1,1.443890214E0,-6.085565686E-1,1.521009654E-1
1.314879829E1,1.272547603E0,-5.949652195E-1,1.569877416E-1
1.315795069E1,1.090056896E0,-6.042806506E-1,1.753131598E-1
1.316710303E1,9.045121074E-1,-6.152759194E-1,1.788255423E-1
1.317624267E1,7.197307944E-1,-6.198572516E-1,1.659977436E-1
1.318540782E1,5.428904891E-1,-6.256603003E-1,1.438545287E-1
1.319456022E1,3.776563108E-1,-6.633801460E-1,1.214058921E-1
1.320369985E1,2.195995897E-1,-6.920899153E-1,8.490777016E-2
1.321286496E1,5.115845799E-2,-6.558972597E-1,2.993151546E-2
1.322201735E1,-1.385096163E-1,-5.870242119E-1,-5.039489828E-3
1.323116975E1,-3.376458287E-1,-5.095993280E-1,-6.413896102E-3
1.324032209E1,-5.369347334E-1,-4.182776511E-1,1.282779220E-2
1.324947449E1,-7.255338430E-1,-3.034383655E-1,3.894151375E-2
1.325861413E1,-8.716790676E-1,-2.150182426E-1,4.275930673E-2
1.326777923E1,-9.633061290E-1,-1.574458778E-1,4.734066315E-3
1.327693163E1,-9.964445829E-1,-7.223268598E-2,-8.964183182E-2
1.328607126E1,-1.017213345E0,6.749862432E-2,-2.370087355E-1
1.329523642E1,-1.028514028E0,1.710372269E-1,-4.149180055E-1
1.330438876E1,-9.517000318E-1,1.145338640E-1,-5.450284481E-1
1.331352840E1,-7.924215794E-1,9.910997003E-2,-5.670189857E-1
1.332269355E1,-9.150491953E-1,2.657185495E-1,-4.868452549E-1
1.333184590E1,-1.627144337E0,-1.905843467E-1,-3.724641204E-1
1.334098553E1,-2.283652544E0,-7.837170362E-1,-2.800734639E-1
1.335015069E1,-2.235242844E0,-3.390202224E-1,-1.281252056E-1
1.335930308E1,-1.899582267E0,5.790832043E-1,8.918370306E-2
1.336844272E1,-2.031983376E0,9.538379908E-1,1.215586066E-1
1.337760782E1,-2.516996145E0,7.539382577E-1,-7.101099193E-2
1.338676022E1,-2.522799253E0,4.847072959E-1,-1.936385781E-1
1.339589985E1,-2.154152870E0,3.474193811E-1,-1.853921413E-1
1.340506496E1,-2.043436766E0,1.546970755E-1,-1.521009654E-1
1.341421735E1,-2.163468361E0,-1.079672500E-1,-1.081199646E-1
1.342335699E1,-2.201188087E0,-4.561502039E-1,-6.917845458E-2
1.343252209E1,-2.050003290E0,-8.553388715E-1,-1.832541823E-2
1.344167449E1,-1.895306349E0,-1.166107416E0,8.368607610E-2
1.345081412E1,-1.865527511E0,-1.260788798E0,2.464768738E-1
1.345997928E1,-1.795890927E0,-1.273921967E0,3.917058110E-1
1.346913163E1,-1.603932142E0,-1.199093223E0,4.833329022E-1
1.347827126E1,-1.441141367E0,-1.085933685E0,5.405998230E-1
1.348743642E1,-1.400978208E0,-9.726215601E-1,5.407525301E-1
1.349658881E1,-1.429687977E0,-9.005415440E-1,4.703523815E-1
1.350572845E1,-1.479013920E0,-7.608102560E-1,3.495573401E-1
1.351489355E1,-1.559645772E0,-5.720584393E-1,2.212794125E-1
1.352404595E1,-1.612636805E0,-3.206948042E-1,1.249182671E-1
1.353319834E1,-1.608055353E0,-3.955236077E-2,4.825693369E-2
1.354235069E1,-1.579345584E0,2.272351831E-1,-1.145338640E-2
1.355150308E1,-1.519940734E0,4.266768098E-1,-4.840964451E-2
1.356064272E1,-1.417012930E0,5.845808387E-1,-8.933641016E-2
1.356980788E1,-1.319582820E0,6.717792749E-1,-1.430909634E-1
1.357896022E1,-1.236965656E0,6.981984377E-1,-1.992889196E-1
1.358811262E1,-1.165343881E0,7.802046537E-1,-2.312056869E-1
1.359726501E1,-1.151447058E0,9.483403563E-1,-2.360924631E-1
1.360641735E1,-1.156028390E0,1.110367656E0,-2.386885732E-1
1.361555699E1,-1.183669329E0,1.328440070E0,-2.641914487E-1
1.362472215E1,-1.231009960E0,1.554759026E0,-3.098522723E-1
1.363387454E1,-1.261399627E0,1.878049850E0,-3.730749488E-1
1.364302689E1,-1.285680771E0,2.209281921E0,-4.266768098E-1
1.365217928E1,-1.305380583E0,2.509818792E0,-4.648547769E-1
1.366133168E1,-1.321720719E0,2.754921198E0,-4.847072959E-1
1.367047131E1,-1.316681266E0,2.892972708E0,-4.854708612E-1
1.367963642E1,-1.294690728E0,2.961845636E0,-4.621059597E-1
1.368878881E1,-1.259872437E0,2.915574074E0,-4.178195298E-1
1.369792845E1,-1.213142633E0,2.759044409E0,-3.717005551E-1
1.370709360E1,-1.150378108E0,2.562962294E0,-3.429907262E-1
1.371624595E1,-1.142437100E0,2.359855652E0,-3.494046330E-1
1.372538558E1,-1.217876673E0,2.199813604E0,-3.901786804E-1
1.373455074E1,-1.304311633E0,2.086196184E0,-4.450022280E-1
1.374370308E1,-1.294232607E0,1.866138339E0,-4.705050886E-1
1.375285548E1,-1.222458124E0,1.568044901E0,-4.734066129E-1
1.376200788E1,-1.161373377E0,1.285375357E0,-4.844018817E-1
1.377116027E1,-1.143811464E0,1.063026905E0,-5.176930428E-1
1.378031262E1,-1.103648305E0,8.562551737E-1,-5.593833923E-1
1.378946501E1,-1.088071704E0,7.748597264E-1,-5.763344169E-1
1.379861741E1,-1.158319116E0,7.644753456E-1,-5.767925382E-1
1.380776980E1,-1.167939901E0,6.065713167E-1,-5.871769190E-1
1.381692215E1,-1.102273822E0,3.081724346E-1,-6.303943992E-1
1.382607454E1,-1.077381849E0,9.223793447E-2,-6.862868667E-1
