"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.662120975E0,8.994726092E-2,-1.721062213E-1,-3.390202299E-2
9.671273319E0,6.413896382E-2,-1.727170646E-1,-3.771981969E-2
9.680425715E0,3.252761811E-2,-1.546970755E-1,-3.497100621E-2
9.689578058E0,1.481304597E-2,-1.070509851E-1,-3.451287001E-2
9.698730402E0,1.313321572E-2,-4.199574888E-2,-3.878879920E-2
9.707882746E0,1.084253844E-2,3.206948051E-3,-4.871506989E-2
9.717035090E0,9.162708884E-4,1.099525020E-2,-5.054761097E-2
9.726187486E0,-7.635590620E-3,6.719320081E-3,-4.703523964E-2
9.735339829E0,-9.162708884E-4,1.985253533E-3,-3.710897267E-2
9.744492173E0,3.970507067E-3,9.315420873E-3,-2.367033064E-2
9.753644517E0,-3.054236295E-3,2.260134928E-2,-9.009997360E-3
9.762796861E0,-1.053711493E-2,3.222219273E-2,-1.221694518E-3
9.771949204E0,-1.038440317E-2,2.015795931E-2,4.275931045E-3
9.781101600E0,-6.719320081E-3,1.725643501E-2,3.665083554E-3
9.790253944E0,-1.557660475E-2,3.833066672E-2,4.275931045E-3
9.799406288E0,-3.542914242E-2,6.291726977E-2,9.620844387E-3
9.808558631E0,-5.711421743E-2,7.742489129E-2,1.191152167E-2
9.817710975E0,-8.307522535E-2,8.338065445E-2,8.704573847E-3
9.826863371E0,-1.053711548E-1,9.773556143E-2,1.832541777E-3
9.836015715E0,-1.049130186E-1,1.206423342E-1,-9.315420873E-3
9.845168058E0,-8.964183182E-2,1.423274130E-1,-2.260134928E-2
9.854320402E0,-7.635590434E-2,1.718007922E-1,-3.176405653E-2
9.863472746E0,-8.536590636E-2,2.211267054E-1,-3.970507160E-2
9.872625090E0,-1.233911440E-1,2.638860047E-1,-5.344913527E-2
9.881777486E0,-1.667613089E-1,3.028275371E-1,-7.391251624E-2
9.890929829E0,-2.064663768E-1,3.437542915E-1,-9.132166207E-2
9.900082173E0,-2.257080674E-1,3.726168275E-1,-1.018587798E-1
9.909234517E0,-2.228065431E-1,3.820849657E-1,-1.079672500E-1
9.918386861E0,-2.017323077E-1,3.726168275E-1,-1.151447073E-1
9.927539204E0,-1.711899489E-1,3.405473530E-1,-1.178935245E-1
9.936691600E0,-1.504211426E-1,3.026748300E-1,-1.220167428E-1
9.945843944E0,-1.456870735E-1,2.617480457E-1,-1.287360638E-1
9.954996288E0,-1.557660550E-1,2.116585821E-1,-1.385096163E-1
9.964148631E0,-1.743968874E-1,1.652341783E-1,-1.453816444E-1
9.973300975E0,-2.055501044E-1,1.296523362E-1,-1.449235082E-1
9.982453371E0,-2.348707765E-1,1.006370857E-1,-1.414111406E-1
9.991605715E0,-2.495311052E-1,7.528692484E-2,-1.348445266E-1
1.000075806E1,-2.467822880E-1,4.642439261E-2,-1.293469071E-1
1.000991040E1,-2.385358512E-1,1.206423342E-2,-1.261399537E-1
1.001906275E1,-2.252499312E-1,-1.068982668E-2,-1.259872466E-1
1.002821514E1,-2.115058601E-1,-3.665083647E-2,-1.252236813E-1
1.003736749E1,-1.971509457E-1,-6.978929788E-2,-1.221694499E-1
1.004651983E1,-1.789782494E-1,-9.743013978E-2,-1.146865711E-1
1.005567217E1,-1.623326540E-1,-1.099525094E-1,-1.029277667E-1
1.006482452E1,-1.426328421E-1,-1.087308154E-1,-8.628217876E-2
1.007397686E1,-1.145338640E-1,-9.773556143E-2,-6.474980712E-2
