"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.933345623E0,1.461452097E-1,3.848337755E-2,3.955236077E-2
7.942498227E0,1.586675793E-1,2.702999115E-2,4.138490185E-2
7.951650883E0,1.698155403E-1,1.695101149E-2,4.337015375E-2
7.960803487E0,1.797417998E-1,4.886778072E-3,4.764608666E-2
7.969956092E0,1.933331639E-1,-3.512371797E-3,5.451811850E-2
7.979108696E0,2.131856978E-1,-1.374406368E-2,6.322269142E-2
7.988261300E0,2.347180545E-1,-2.321219631E-2,7.742489129E-2
7.997413904E0,2.605263591E-1,-2.855710872E-2,9.284878522E-2
8.006566508E0,2.913741469E-1,-3.863608837E-2,1.108687744E-1
8.015719112E0,3.278722763E-1,-5.360184610E-2,1.342336833E-1
8.024871769E0,3.710896969E-1,-8.353336155E-2,1.634016484E-1
8.034024373E0,4.211791754E-1,-1.140757278E-1,1.930277348E-1
8.043176977E0,4.810422063E-1,-1.319430023E-1,2.258607745E-1
8.052329581E0,5.464028716E-1,-1.461452097E-1,2.640387416E-1
8.061482185E0,6.183301210E-1,-1.634016484E-1,3.122956753E-1
8.070634789E0,7.009472251E-1,-1.895153672E-1,3.677300513E-1
8.079787394E0,7.892146707E-1,-2.264716178E-1,4.326325655E-1
8.088939998E0,8.822161555E-1,-2.634278834E-1,4.986040890E-1
8.098092602E0,9.878927469E-1,-3.142809272E-1,5.683933496E-1
8.107245258E0,1.100288630E0,-3.758237660E-1,6.442911625E-1
8.116397862E0,1.215738773E0,-4.373666346E-1,7.386670709E-1
8.125550467E0,1.320651770E0,-5.066977739E-1,8.347227573E-1
8.134703071E0,1.416096687E0,-5.935907960E-1,8.984035850E-1
8.143855675E0,1.499324560E0,-6.742226481E-1,9.320002198E-1
8.153008279E0,1.582857966E0,-7.305732965E-1,9.527690411E-1
8.162160883E0,1.687923670E0,-7.725690603E-1,9.749122262E-1
8.171313487E0,1.810093164E0,-7.849387527E-1,9.898779988E-1
8.180466144E0,1.927833915E0,-7.823426127E-1,9.839222431E-1
8.189618748E0,1.993499994E0,-8.118160367E-1,9.575030804E-1
8.198771352E0,1.977312565E0,-8.432746530E-1,9.465078115E-1
8.207923956E0,1.915464282E0,-8.414421082E-1,9.582666159E-1
8.217076560E0,1.866291046E0,-7.902836204E-1,9.840749502E-1
8.226229164E0,1.828265905E0,-7.040014863E-1,1.021031141E0
8.235381769E0,1.774053097E0,-6.449019909E-1,1.059056401E0
8.244534373E0,1.690061688E0,-6.352811456E-1,1.098761559E0
8.253687029E0,1.598739982E0,-6.600204706E-1,1.138466597E0
8.262839633E0,1.532004952E0,-7.244648337E-1,1.166107416E0
8.271992237E0,1.506654739E0,-8.516737819E-1,1.147781968E0
8.281144842E0,1.520856977E0,-1.028514028E0,1.088071704E0
8.290297446E0,1.570793748E0,-1.187181592E0,1.000109673E0
8.299450050E0,1.670667291E0,-1.289193153E0,9.123004079E-1
8.308602654E0,1.797112584E0,-1.360967636E0,8.710681796E-1
8.317755258E0,1.892710209E0,-1.435491085E0,8.797727823E-1
8.326907914E0,1.917602301E0,-1.480999231E0,9.257390499E-1
8.336047758E0,1.877133608E0,-1.462826490E0,9.761339426E-1
8.345213123E0,1.796349049E0,-1.337450027E0,1.015838981E0
8.354365727E0,1.704722047E0,-1.080283403E0,1.017366052E0
8.363505571E0,1.608055353E0,-8.098307252E-1,1.001789451E0
8.372670935E0,1.527576327E0,-6.178719997E-1,9.828532338E-1
8.381823539E0,1.481762767E0,-5.089884996E-1,9.555178285E-1
8.390976144E0,1.465575337E0,-4.880669713E-1,9.384140968E-1
8.400128748E0,1.444806457E0,-5.121954083E-1,9.321529269E-1
8.409281404E0,1.418998241E0,-5.201364160E-1,9.185615778E-1
8.418434008E0,1.381889224E0,-4.857762754E-1,9.060391784E-1
8.427586612E0,1.348139882E0,-4.388937652E-1,8.935168386E-1
8.436739217E0,1.327981949E0,-4.396573007E-1,8.719844818E-1
8.445891821E0,1.323247910E0,-4.602734149E-1,8.371661901E-1
8.455044425E0,1.321109891E0,-4.755446017E-1,7.956285477E-1
8.464197029E0,1.292094707E0,-5.065450668E-1,7.502731681E-1
8.473349633E0,1.226428628E0,-5.296045542E-1,7.156075835E-1
8.482502289E0,1.170688748E0,-5.538857579E-1,6.951441765E-1
