"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.300816244E0,4.886778072E-2,1.094943732E-1,2.626643144E-2
6.309969005E0,4.672981426E-2,7.513421029E-2,1.771457121E-2
6.319121765E0,4.382828996E-2,5.161659420E-2,1.466033421E-2
6.328274525E0,4.199574888E-2,4.260659590E-2,1.466033421E-2
6.337427286E0,3.771981969E-2,4.321744293E-2,1.466033421E-2
6.346580098E0,3.023693897E-2,4.443913698E-2,1.160609815E-2
6.355732859E0,1.985253580E-2,4.245388508E-2,7.177455351E-3
6.364885619E0,7.482878864E-3,4.611896724E-2,2.137965523E-3
6.374038380E0,-4.581354442E-4,4.734066129E-2,-2.137965523E-3
6.383191140E0,-5.344913341E-3,4.001049697E-2,-5.803049076E-3
6.392343900E0,-6.413896102E-3,2.550287358E-2,-7.635590620E-3
6.401496713E0,-7.941014133E-3,1.527118147E-4,-1.130067464E-2
6.410649473E0,-7.788302377E-3,-3.054236248E-2,-1.496575773E-2
6.419802234E0,-7.635590737E-4,-5.772506446E-2,-1.481304597E-2
6.428954994E0,1.068982668E-2,-8.475505561E-2,-1.114796288E-2
6.438107755E0,2.183778957E-2,-1.046075895E-1,-2.443389036E-3
6.447260515E0,3.542914242E-2,-1.130067408E-1,5.039489828E-3
6.456413327E0,4.825693369E-2,-1.122431830E-1,8.704573847E-3
6.465566088E0,5.879404768E-2,-1.116323397E-1,7.635590620E-3
6.474718848E0,6.627693027E-2,-1.159082651E-1,8.246437646E-3
6.483871609E0,7.070557028E-2,-1.261399537E-1,8.246437646E-3
6.493024369E0,7.070557028E-2,-1.327065676E-1,9.468132630E-3
6.502177130E0,5.589252338E-2,-1.363716573E-1,9.315420873E-3
6.511329942E0,3.863608837E-2,-1.369825006E-1,7.482878864E-3
6.520482702E0,2.886253223E-2,-1.406475753E-1,1.221694518E-3
6.529635463E0,2.031067200E-2,-1.395785958E-1,-4.275931045E-3
6.538788223E0,1.893626526E-2,-1.299577504E-1,-7.330167107E-3
6.547940984E0,2.260134928E-2,-1.209477559E-1,-9.773556143E-3
6.557093744E0,3.115320951E-2,-1.052184403E-1,-1.160609815E-2
6.566246557E0,3.649812192E-2,-8.903098851E-2,-1.634016447E-2
6.575399317E0,3.344388679E-2,-7.696675509E-2,-2.260134928E-2
6.584552077E0,2.290677279E-2,-7.330167294E-2,-2.870982140E-2
6.593704838E0,6.261184346E-3,-7.696675509E-2,-3.130592033E-2
6.602857598E0,-7.788302377E-3,-8.903098851E-2,-3.313846514E-2
6.612010411E0,-2.000524849E-2,-9.743013978E-2,-3.268032894E-2
6.621163171E0,-2.504473738E-2,-9.804098308E-2,-3.023693897E-2
6.630315932E0,-2.321219631E-2,-9.391776472E-2,-2.718270384E-2
6.639468692E0,-1.404948719E-2,-8.597674966E-2,-2.657185495E-2
6.648621452E0,-6.108472589E-4,-7.696675509E-2,-2.336490713E-2
6.657774265E0,1.725643501E-2,-6.429167092E-2,-1.847812906E-2
6.666927025E0,3.741439432E-2,-4.978405312E-2,-1.160609815E-2
6.676079786E0,4.963133857E-2,-4.489727318E-2,-8.399149403E-3
6.685232546E0,4.902049154E-2,-5.039490014E-2,-5.344913341E-3
6.694385307E0,3.680354729E-2,-6.001574174E-2,-3.054236295E-3
6.703538067E0,1.649287529E-2,-6.841489673E-2,-2.596100792E-3
6.712690880E0,-2.443389036E-3,-7.681404054E-2,-5.039489828E-3
6.721843640E0,-1.298050396E-2,-7.635590434E-2,-5.803049076E-3
6.730996400E0,-8.093725890E-3,-6.963659078E-2,-3.970507067E-3
6.740149161E0,4.886778072E-3,-6.536065787E-2,-3.817795310E-3
6.749301921E0,1.649287529E-2,-6.352811307E-2,-7.482878864E-3
6.758454734E0,2.275406010E-2,-7.024743408E-2,-1.282779220E-2
6.767607494E0,2.596100792E-2,-7.513421029E-2,-1.771457121E-2
6.776760255E0,1.786728203E-2,-7.024743408E-2,-2.504473738E-2
6.785913015E0,7.941014133E-3,-5.955760926E-2,-2.519745007E-2
6.795065775E0,-1.374406274E-3,-4.504998401E-2,-2.641914412E-2
6.804218588E0,-1.389677543E-2,-3.115320951E-2,-2.718270384E-2
6.813371348E0,-2.443389036E-2,-2.702999115E-2,-2.794626169E-2
6.822524109E0,-2.932066843E-2,-2.825168520E-2,-2.794626169E-2
6.831676869E0,-2.809897438E-2,-3.176405653E-2,-2.550287358E-2
6.840829630E0,-1.939439960E-2,-3.726168349E-2,-1.985253580E-2
6.849982390E0,-7.635590620E-3,-4.504998401E-2,-1.557660475E-2
6.859135202E0,4.123218823E-3,-5.161659420E-2,-9.315420873E-3
6.868287963E0,1.099525020E-2,-6.490252167E-2,-3.206948051E-3
6.877440723E0,1.114796288E-2,-8.292251825E-2,-1.527118147E-4
6.886593484E0,7.635590620E-3,-9.849911928E-2,1.068982761E-3
6.895746296E0,7.024743594E-3,-1.064401343E-1,4.581354442E-4
6.904899057E0,9.468132630E-3,-9.865183383E-2,-1.374406274E-3
6.914051817E0,1.603474095E-2,-7.681404054E-2,-2.443389036E-3
6.923204577E0,1.893626526E-2,-5.039490014E-2,-2.443389036E-3
6.932357338E0,1.496575773E-2,-2.993151546E-2,-3.817795310E-3
6.941510150E0,6.261184346E-3,-1.786728203E-2,-6.261184346E-3
6.950662911E0,1.985253533E-3,-1.481304597E-2,-9.315420873E-3
6.959815671E0,-3.512371797E-3,-2.153236605E-2,-1.557660475E-2
6.968968432E0,-1.084253844E-2,-2.092151903E-2,-2.107422985E-2
6.978121192E0,-1.527118124E-2,-1.007897966E-2,-2.229592577E-2
6.987273952E0,-1.603474095E-2,1.527118147E-4,-1.985253580E-2
6.996426765E0,-1.420219894E-2,-1.068982761E-3,-1.740914769E-2
7.005579525E0,-1.084253844E-2,-1.908897609E-2,-2.046338283E-2
7.014732286E0,-1.374406368E-2,-3.848337755E-2,-2.229592577E-2
7.023885046E0,-2.305948362E-2,-4.566083103E-2,-2.412846684E-2
7.033037859E0,-3.542914242E-2,-4.092676565E-2,-2.305948362E-2
7.042190619E0,-4.413371533E-2,-2.580829710E-2,-2.489202656E-2
7.051343380E0,-4.978405312E-2,-7.788302377E-3,-2.687728032E-2
7.060496140E0,-5.115845799E-2,6.108472589E-3,-2.809897438E-2
7.069648900E0,-5.192201585E-2,1.038440317E-2,-2.809897438E-2
7.078801713E0,-4.627167806E-2,1.038440317E-2,-2.687728032E-2
7.087954473E0,-3.756710514E-2,1.832541777E-3,-2.367033064E-2
7.097107234E0,-3.420744836E-2,-2.046338283E-2,-2.305948362E-2
7.106259994E0,-3.665083647E-2,-4.214845970E-2,-2.305948362E-2
7.115412755E0,-3.726168349E-2,-3.970507160E-2,-2.122694254E-2
7.124565567E0,-2.886253223E-2,-1.435491070E-2,-1.634016447E-2
7.133718327E0,-1.496575773E-2,7.941014133E-3,-9.468132630E-3
7.142871088E0,-4.581354558E-3,1.832541823E-2,-5.192201585E-3
7.152023848E0,-1.527118147E-4,1.588202827E-2,-7.635590620E-3
