"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.639126878E0,2.962609194E-2,-5.955760833E-3,-1.511846948E-2
7.648279117E0,3.573456407E-2,-4.734066315E-3,-1.695101149E-2
7.657431305E0,3.939964995E-2,-4.581354442E-4,-2.000524849E-2
7.666583544E0,4.245388508E-2,4.275931045E-3,-2.244863659E-2
7.675735732E0,3.573456407E-2,-5.344913341E-3,-2.244863659E-2
7.684887971E0,2.428117767E-2,-2.275406010E-2,-2.305948362E-2
7.694040211E0,1.023169141E-2,-3.909422457E-2,-2.137965336E-2
7.703192399E0,7.941014133E-3,-6.444438547E-2,-1.832541823E-2
7.712344638E0,1.756185852E-2,-9.269607067E-2,-1.756185852E-2
7.721496826E0,3.497100621E-2,-1.154501289E-1,-1.618745178E-2
7.730649065E0,5.665608495E-2,-1.276670843E-1,-1.786728203E-2
7.739801305E0,7.452336699E-2,-1.252236813E-1,-2.031067200E-2
7.748953492E0,8.368607610E-2,-1.166718230E-1,-2.260134928E-2
7.758105732E0,8.292251825E-2,-1.027750522E-1,-2.382304333E-2
7.767257919E0,7.727217674E-2,-8.964183182E-2,-2.397575416E-2
7.776410159E0,6.368082762E-2,-8.964183182E-2,-2.214321308E-2
7.785562346E0,4.642439261E-2,-9.513945878E-2,-2.412846684E-2
7.794714586E0,3.603998944E-2,-1.012479365E-1,-2.977880463E-2
7.803866826E0,3.848337755E-2,-1.017060652E-1,-2.962609194E-2
7.813019013E0,4.581354558E-2,-1.004843712E-1,-2.535016090E-2
7.822171253E0,5.070032179E-2,-9.575030953E-2,-2.229592577E-2
7.831323440E0,4.520269856E-2,-9.025268257E-2,-2.290677279E-2
7.840475680E0,3.603998944E-2,-9.391776472E-2,-2.550287358E-2
7.849627919E0,2.748812735E-2,-9.941539168E-2,-3.038965166E-2
7.858780107E0,2.626643144E-2,-1.084253863E-1,-3.588727489E-2
7.867932346E0,3.130592033E-2,-1.090362370E-1,-4.077405483E-2
7.877084534E0,4.230117425E-2,-1.006370857E-1,-4.184303805E-2
7.886236774E0,5.635065958E-2,-8.674030751E-2,-4.123219103E-2
7.895389013E0,6.536065787E-2,-7.345438004E-2,-3.497100621E-2
7.904541201E0,6.291726977E-2,-6.795676053E-2,-2.901524492E-2
7.913693440E0,5.176930502E-2,-7.101099193E-2,-2.351761982E-2
7.922845628E0,4.138490185E-2,-7.635590434E-2,-1.924168877E-2
7.931997867E0,3.405473381E-2,-8.551861346E-2,-1.634016447E-2
7.941150107E0,3.420744836E-2,-9.681928903E-2,-1.695101149E-2
7.950302294E0,4.474456236E-2,-1.029277667E-1,-1.679829881E-2
7.959454534E0,5.635065958E-2,-1.029277667E-1,-1.924168877E-2
7.968606721E0,6.612421572E-2,-9.681928903E-2,-2.275406010E-2
7.977758961E0,7.223268598E-2,-8.903098851E-2,-2.702999115E-2
7.986911201E0,7.345438004E-2,-8.185353130E-2,-2.947338112E-2
7.996063388E0,6.536065787E-2,-6.612421572E-2,-3.191677108E-2
8.005215628E0,5.467082933E-2,-4.688252881E-2,-3.206948191E-2
8.014367815E0,4.657710344E-2,-2.886253223E-2,-3.145863488E-2
8.023520055E0,4.092676565E-2,-1.740914769E-2,-3.344388679E-2
8.032672294E0,4.153761268E-2,-1.435491070E-2,-3.955236077E-2
8.041824482E0,4.886778072E-2,-5.344913341E-3,-4.245388508E-2
8.050976721E0,5.726693198E-2,1.221694518E-2,-4.306473210E-2
8.060128909E0,6.704048812E-2,2.779355086E-2,-4.062134400E-2
8.069281149E0,6.810946763E-2,3.985778242E-2,-3.817795217E-2
8.078433388E0,5.818320066E-2,4.703523964E-2,-3.695625812E-2
8.087585576E0,4.642439261E-2,5.497625470E-2,-3.405473381E-2
8.096737815E0,3.466558084E-2,6.337540597E-2,-2.977880463E-2
8.105890055E0,2.596100792E-2,6.627693027E-2,-2.687728032E-2
8.115042242E0,2.397575416E-2,7.482878864E-2,-2.748812735E-2
8.124194482E0,2.687728032E-2,9.529217333E-2,-2.504473738E-2
8.133346669E0,3.405473381E-2,1.212531775E-1,-2.504473738E-2
8.142498909E0,4.611896724E-2,1.453816444E-1,-2.367033064E-2
